NumDots,UrlLength,NumDash,AtSymbol,IpAddress,HttpsHostname,PathLength,NumChars,Phishing
2,22,1,0,0,0,22,0,0
5,103,0,0,0,0,10,1,0
3,77,4,0,0,0,77,1,0
3,178,0,0,0,0,10,1,0
1,35,0,0,0,0,35,0,0
2,39,0,0,0,0,39,0,0
2,29,0,0,0,0,29,0,0
2,42,0,0,0,0,42,1,0
1,83,6,0,0,0,83,0,0
1,57,4,0,0,0,57,1,0
1,21,0,0,0,0,21,0,0
2,68,0,0,0,0,30,1,0
2,45,3,0,0,0,45,0,0
2,40,2,0,0,0,40,0,0
1,85,8,0,0,0,85,0,0
2,75,1,0,0,0,75,1,0
2,19,0,0,0,0,19,0,0
